epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,5054.8,1.40048,3.78174,1.05475,0.41745,0.1608,0.25774,0.17065,1.2636,1.93563,1.00602,0.000102359,0.000102359,0.000102359
71,5110.21,1.4476,7.15438,1.01833,0.4708,0.16411,0.25874,0.18111,1.26454,1.9415,1.00465,9.9161e-05,9.9161e-05,9.9161e-05
72,5166.17,1.41265,6.56846,0.99606,0.48052,0.1427,0.26274,0.19127,1.24969,2.02832,1.00545,9.59633e-05,9.59633e-05,9.59633e-05
73,5221.15,1.37098,5.14906,0.98899,0.48478,0.12909,0.24188,0.17461,1.24058,2.13049,1.00171,9.27656e-05,9.27656e-05,9.27656e-05
74,5277.31,1.38109,3.18614,1.02722,0.48839,0.14485,0.24875,0.18102,1.23986,2.13627,0.99892,8.95679e-05,8.95679e-05,8.95679e-05
75,5332.13,1.35706,6.53762,0.97947,0.49666,0.14465,0.25123,0.18378,1.2391,2.12292,0.99887,8.63702e-05,8.63702e-05,8.63702e-05
76,5389.29,1.33704,5.42253,0.98004,0.48513,0.15664,0.25281,0.1829,1.23503,2.17943,0.99409,8.31725e-05,8.31725e-05,8.31725e-05
77,5455.82,1.46778,4.96817,1.00679,0.48197,0.1733,0.25492,0.18446,1.22658,2.18596,0.98743,7.99748e-05,7.99748e-05,7.99748e-05
78,5520.84,1.49828,3.3874,1.0536,0.52293,0.15565,0.28205,0.19586,1.22542,2.18222,0.98569,7.67771e-05,7.67771e-05,7.67771e-05
79,5583.13,1.39273,6.60374,0.97764,0.50197,0.18854,0.28459,0.19802,1.22002,2.19452,0.9822,7.35794e-05,7.35794e-05,7.35794e-05
80,5652.84,1.30335,4.44717,0.96192,0.48392,0.17162,0.25973,0.19091,1.21819,2.17994,0.97871,7.03817e-05,7.03817e-05,7.03817e-05
81,5717.08,1.43799,4.47745,1.03251,0.52212,0.15214,0.27361,0.19108,1.21759,2.18363,0.97906,6.7184e-05,6.7184e-05,6.7184e-05
82,5781.22,1.58195,5.28341,1.05029,0.4959,0.17873,0.25516,0.18689,1.2148,2.23424,0.97814,6.39863e-05,6.39863e-05,6.39863e-05
83,5839.67,1.38274,4.0636,1.02792,0.49417,0.18052,0.25498,0.18617,1.21335,2.25388,0.97802,6.07886e-05,6.07886e-05,6.07886e-05
84,5899.03,1.44815,4.42621,1.02798,0.46639,0.18839,0.25767,0.18904,1.21303,2.25546,0.9777,5.75909e-05,5.75909e-05,5.75909e-05
